Satellite,Day (human),Day (ordinal),Start Time (UTC),Band(s),Main Artifact,2nd Artifact,Comments,Lat/Lon,Line/Element,16-panel Imagery Link,Level-1b Path
GOES-16,01/06/2020,2020006,00:00:21,8,Sharkfin,,FD,"23S,100W","3913,1512",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200106/fd/16panel/medium/16panel_2020006_000021_EASTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_01_06_006/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020006000021*.nc
GOES-16,01/06/2020,2020006,00:00:21,11,Sharkfin,,FD,"48S,75W","4927,2712",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200106/fd/16panel/medium/16panel_2020006_000021_EASTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_01_06_006/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020006000021*.nc
GOES-16,01/08/2020,2020008,07:50:20,10,Sharkfin,,FD,"48N,90W","511,2196",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200108/fd/16panel/medium/16panel_2020008_075020_EASTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_01_08_008/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020008075020*.nc
GOES-17,01/16/2020,2020016,18:00:32,"13,14",Sharkfin,,FD,"50S,150W","4975,2286",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200116/fd/16panel/medium/16panel_2020016_180032_WESTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_01_16_016/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020016180032*.nc
GOES-16,01/17/2020,2020017,05:10:19,"10,15",Sharkfin,,FD,"43N,90W","667,2142",http://data.ssec.wisc.edu/abi/imagery/GOES-16/20200117/fd/16panel/medium/16panel_2020017_051019_EASTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes16/2020/2020_01_17_017/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G16_s2020017051019*.nc
GOES-17,01/18/2020,2020018,14:30:32,8,Sharkfin,,FD,"44N,150W","631,2226",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200118/fd/16panel/medium/16panel_2020018_143032_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_01_18_018/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020018143032*.nc
GOES-17,01/20/2020,2020020,06:30:32,15,Sharkfin,,FD,"37N,165W","907,1584",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200120/fd/16panel/medium/16panel_2020020_063032_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_01_20_020/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020020063032*.nc
GOES-17,01/21/2020,2020021,17:40:32,16,Sharkfin,,FD,"48S,150W","4921,2262",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200121/fd/16panel/medium/16panel_2020021_174032_WESTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_01_21_021/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020021174032*.nc
GOES-17,01/25/2020,2020025,07:10:31,10,Sharkfin,,FD,"48S,150W","4921,2262",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200125/fd/16panel/medium/16panel_2020025_071031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_01_25_025/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020025071031*.nc
GOES-17,01/31/2020,2020031,07:50:31,15,Sharkfin,,FD,"47S,150W","4885,2256",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200131/fd/16panel/medium/16panel_2020031_075031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_01_31_031/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020031075031*.nc
GOES-17,02/02/2020,2020033,15:10:32,"7,8,15,16",Sharkfin,,FD,"46S,150W","4855,2244",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200202/fd/16panel/medium/16panel_2020033_151032_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_02_033/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020033151032*.nc
GOES-17,02/03/2020,2020034,21:50:31,"10,11",Sharkfin,,FD,"47S,150W","4885,2256",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200203/fd/16panel/medium/16panel_2020034_215031_WESTB_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_03_034/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020034215031*.nc
GOES-17,02/08/2020,2020039,18:40:32,10,Sharkfin,,FD,"15S,165W","3511,1308",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200208/fd/16panel/medium/16panel_2020039_184032_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_08_039/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020039184032*.nc
GOES-17,02/08/2020,2020039,20:10:32,"7,16",Sharkfin,,FD,"22S,155W","3871,1824",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200208/fd/16panel/medium/16panel_2020039_201032_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_08_039/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020039201032*.nc
GOES-17,02/09/2020,2020040,00:50:31,10,Sharkfin,,FD,"28N,165W","1285,1446",http://data.ssec.wisc.edu/abi/imagery/GOES-17/20200209/fd/16panel/medium/16panel_2020040_005031_WESTA_FD_M6_B12345678910111213141516_0016PANELS.GIF,/arcdata/goes/grb/goes17/2020/2020_02_09_040/abi/L1b/RadF/OR_ABI-L1b-RadF-M6C??_G17_s2020040005031*.nc
